City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,29,PF,1615693964,74,-23.1203,-134.9692,299.98,4.03
Bobo-Dioulasso,91,BF,1615693965,36,11.1771,-4.2979,299.15,2.06
Nikolskoye,75,RU,1615693965,87,59.7035,30.7861,275.15,4.0
Hermanus,99,ZA,1615693965,94,-34.4187,19.2345,290.37,2.32
Gramsh,1,AL,1615693965,86,40.8697,20.1844,281.83,1.82
Mataura,28,NZ,1615693706,44,-46.1927,168.8643,296.48,8.05
Liberia,71,LR,1615693966,99,6.5,-9.5,295.67,0.95
Ushuaia,40,AR,1615693818,65,-54.8,-68.3,279.15,8.23
Lebu,0,CL,1615693966,86,-37.6167,-73.65,286.33,1.99
Thompson,20,CA,1615693966,55,55.7435,-97.8558,257.15,3.09
Bluff,33,NZ,1615693967,45,-46.6,168.3333,295.93,6.71
Molo,11,KE,1615693967,93,-0.2479,35.7374,283.14,1.44
Margate,100,GB,1615693967,81,51.3813,1.3862,278.71,2.24
Port Alfred,52,ZA,1615693968,84,-33.5906,26.891,294.26,0.89
Kaitangata,8,NZ,1615693968,63,-46.2817,169.8464,291.48,3.58
Gornoye Loo,90,RU,1615693968,70,43.7129,39.6049,277.15,7.0
Arrondissement de Bastia,0,FR,1615693968,50,42.6667,9.3333,287.04,4.12
Mar del Plata,0,AR,1615693835,88,-38.0023,-57.5575,291.48,5.18
George Town,20,MY,1615693969,65,5.4112,100.3354,303.15,1.03
Bezhetsk,100,RU,1615693969,96,57.7851,36.6965,272.1,5.25
Cherskiy,100,RU,1615693787,94,68.75,161.3,253.51,5.4
North Platte,90,US,1615693969,87,41.1239,-100.7654,278.15,6.69
Vågåmo,15,NO,1615693969,88,61.8751,9.0967,264.11,0.93
East London,0,ZA,1615693970,83,-33.0153,27.9116,295.15,3.09
Butaritari,85,KI,1615693970,80,3.0707,172.7902,300.32,5.29
New Norfolk,44,AU,1615693874,33,-42.7826,147.0587,290.93,4.47
Kapaa,90,US,1615693970,88,22.0752,-159.319,295.93,10.29
Yellowknife,90,CA,1615693913,78,62.456,-114.3525,256.15,4.63
Albany,1,US,1615693709,48,42.6001,-73.9662,273.71,2.3
Tomé,90,CL,1615693971,100,-36.6167,-72.95,286.15,2.06
Sitka,40,US,1615693971,59,57.0531,-135.33,273.15,3.09
Kaeo,0,NZ,1615693792,62,-35.1,173.7833,296.48,2.24
Vaini,75,TO,1615693971,78,-21.2,-175.2,300.15,4.12
Punta Arenas,0,CL,1615693971,61,-53.15,-70.9167,280.15,2.06
Lata,0,PT,1615693763,91,40.1629,-8.3327,283.71,1.48
Ostrovnoy,98,RU,1615693972,92,68.0531,39.5131,263.38,4.76
Vostok,24,RU,1615693972,81,46.4856,135.8833,277.37,0.9
Arraial do Cabo,100,BR,1615693777,87,-22.9661,-42.0278,297.58,6.3
Jamestown,1,US,1615693972,40,42.097,-79.2353,273.71,6.34
Tiksi,87,RU,1615693973,85,71.6872,128.8694,256.68,3.34
Moose Factory,90,CA,1615693973,79,51.2585,-80.6094,263.15,6.17
Kargasok,97,RU,1615693973,93,59.0556,80.8572,262.46,4.53
Port Elizabeth,0,ZA,1615693974,83,-33.918,25.5701,293.15,2.06
Barrow,1,US,1615693974,65,71.2906,-156.7887,253.15,5.66
Qaanaaq,100,GL,1615693974,65,77.484,-69.3632,252.76,4.13
Yandyki,96,RU,1615693974,61,45.7691,47.1258,271.26,6.22
Sittwe,0,MM,1615693975,42,20.15,92.9,302.77,2.44
Cape Town,75,ZA,1615693919,77,-33.9258,18.4232,292.15,4.12
Morón,0,AR,1615693960,59,-34.6534,-58.6198,296.48,3.83
Castro,15,BR,1615693975,93,-24.7911,-50.0119,290.18,1.47
Kushima,20,JP,1615693741,42,31.4583,131.2333,290.15,4.63
Takaka,0,NZ,1615693975,72,-40.85,172.8,292.04,3.13
Killam,20,CA,1615693976,56,52.7834,-111.8518,277.15,6.69
Harbour Breton,56,CA,1615693976,69,47.4833,-55.7983,271.21,5.87
Najrān,90,SA,1615693976,32,17.4924,44.1277,291.15,2.06
Santa Vitória do Palmar,0,BR,1615693976,80,-33.5189,-53.3681,289.08,2.11
Vestmannaeyjar,100,IS,1615693977,64,63.4427,-20.2734,272.38,5.43
Santa Maria,0,BR,1615693977,94,-29.6842,-53.8069,291.15,2.57
Goderich,0,CA,1615693712,70,43.7501,-81.7165,276.15,5.14
Bethel,1,US,1615693977,32,41.3712,-73.414,276.48,2.57
Gilgit,100,PK,1615693977,65,35.9221,74.3087,281.97,1.31
Salalah,0,OM,1615693705,56,17.0151,54.0924,293.15,2.06
Nanortalik,100,GL,1615693978,74,60.1432,-45.2371,270.54,3.09
Thinadhoo,51,MV,1615693974,71,0.5333,72.9333,301.88,3.55
Hilo,90,US,1615693978,88,19.7297,-155.09,294.15,2.06
Mandalgovi,100,MN,1615693862,18,45.7625,106.2708,284.32,12.76
Airai,59,TL,1615693978,80,-8.9266,125.4092,295.42,0.49
Hobart,0,AU,1615693819,29,-42.8794,147.3294,290.93,4.63
Ancud,0,CL,1615693979,93,-41.8697,-73.8203,283.15,3.6
Jasper,90,US,1615693979,94,37.2001,-94.3502,286.48,6.69
Torbay,75,CA,1615693979,86,47.6666,-52.7314,271.48,10.29
Severo-Kuril'sk,77,RU,1615693980,93,50.6789,156.125,273.26,7.37
Vanimo,61,PG,1615693980,78,-2.6741,141.3028,301.91,3.05
Olafsvik,100,IS,1615693701,74,64.8945,-23.7142,271.45,6.2
Rawson,77,AR,1615693833,62,-43.3002,-65.1023,289.3,8.32
Qasigiannguit,97,GL,1615693980,61,68.8193,-51.1922,260.15,5.66
Souillac,40,MU,1615693981,83,-20.5167,57.5167,300.15,4.12
Buala,74,SB,1615693981,73,-8.145,159.5921,301.28,1.77
Ngama,37,TD,1615693981,25,11.7833,17.1667,300.37,1.18
Bambous Virieux,40,MU,1615693878,83,-20.3428,57.7575,300.15,4.12
Lebane,0,RS,1615693981,87,42.9239,21.7375,276.15,2.06
Mirny,66,RU,1615693982,84,62.5353,113.9611,261.01,5.87
Mustafābād,0,PK,1615693982,24,30.8922,73.4989,298.75,1.54
Muborak,100,UZ,1615693982,59,39.2553,65.1528,269.67,5.47
Lázaro Cárdenas,0,MX,1615693982,84,17.9583,-102.2,295.41,0.57
San Cristobal,24,VE,1615693983,93,7.7669,-72.225,291.79,0.57
Villa María,1,AR,1615693983,90,-32.4075,-63.2402,293.15,2.25
Avarua,10,CK,1615693983,69,-21.2078,-159.775,301.15,2.57
Saint-Philippe,40,RE,1615693984,74,-21.3585,55.7679,300.15,4.63
Evensk,69,RU,1615693984,74,61.95,159.2333,257.32,1.26
